11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999,9.674999999999999
28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004,28.261250000000004
9.2025,9.2025,9.2025,9.2025,9.2025,9.2025,9.2025,9.2025
76.485,76.485,76.485,76.485,76.485,76.485,76.485,76.485
17.24,17.24,17.24,17.24,17.24,17.24,17.24,17.24
71.49,71.49,71.49,71.49,71.49,71.49,71.49,71.49
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2
31.875,31.875,31.875,31.875,31.875,31.875,31.875,31.875
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005,31.190000000000005
28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002,28.115000000000002
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999,36.51499999999999
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002
14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38
14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998,14.239999999999998
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
163.61375,163.61375,163.61375,163.61375,163.61375,163.61375,163.61375,163.61375
183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002,183.70000000000002
169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99
20.8725,20.8725,20.8725,20.8725,20.8725,20.8725,20.8725,20.8725
31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006,31.927500000000006
49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994,49.959999999999994
17.0875,17.0875,17.0875,17.0875,17.0875,17.0875,17.0875,17.0875
574.2475,574.2475,574.2475,574.2475,574.2475,574.2475,574.2475,574.2475
27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75
18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997,18.424999999999997
22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003,22.856250000000003
12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003
23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002,23.740000000000002
29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
8.9575,8.9575,8.9575,8.9575,8.9575,8.9575,8.9575,8.9575
34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97
63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99
8.923750000000002,8.923750000000002,8.923750000000002,8.923750000000002,8.923750000000002,8.923750000000002,8.923750000000002,8.923750000000002
64.72000000000001,64.72000000000001,64.72000000000001,64.72000000000001,64.72000000000001,64.72000000000001,64.72000000000001,64.72000000000001
6.84875,6.84875,6.84875,6.84875,6.84875,6.84875,6.84875,6.84875
95.19000000000001,95.19000000000001,95.19000000000001,95.19000000000001,95.19000000000001,95.19000000000001,95.19000000000001,95.19000000000001
24.87625,24.87625,24.87625,24.87625,24.87625,24.87625,24.87625,24.87625
39.449999999999996,39.449999999999996,39.449999999999996,39.449999999999996,39.449999999999996,39.449999999999996,39.449999999999996,39.449999999999996
